ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
arabic-2252_rat-1,,arabic,2252_rat,šīm-,ʃiːm-,ʃ iː m,,,1707,,^ ʃ iː m - $,default
ps-2253_kindofcreepingcreature-1,,ps,2253_kindofcreepingcreature,*ŝarap-,ɬarap-,ɬ a r a p,,,1708,,^ ɬ a r a p - $,default
hebrew-2254_saraphserpent-1,,hebrew,2254_saraphserpent,ŝārāp,ɬaːraːp,ɬ aː r aː p,,,1708,,^ ɬ aː r aː p $,default
ps-528_kindofbird-20,,ps,528_kindofbird,*ŝVrŝūr-,ɬ-rɬuːr-,ɬ r ɬ uː r,,,1709,,^ ɬ - r ɬ uː r - $,default
akkadian-2255_adove-1,,akkadian,2255_adove,suššuru,suʃʃuru,s u ʃ ʃ u r u,,,1709,,^ s u ʃ ʃ u r u $,default
arabic-2256_asmallbird-1,,arabic,2256_asmallbird,šaršūr-,ʃarʃuːr-,ʃ a r ʃ uː r,,,1709,,^ ʃ a r ʃ uː r - $,default
ps-1633_kindofinsect-11,,ps,1633_kindofinsect,*ŝₓVbay(-at)-,ɬₓ-baj-,ɬₓ b a j,,,1711,,^ ɬₓ - b a j - $,default
akkadian-2257_aninsectlarva-1,,akkadian,2257_aninsectlarva,šubabītu,ʃubabiːtu,ʃ u b a b iː t u,,,1711,,^ ʃ u b a b iː t u $,default
hebrew-2258_aspeciesofspider-1,,hebrew,2258_aspeciesofspider,šībay,ʃiːbaj,ʃ iː b a j,,,1711,,^ ʃ iː b a j $,default
arabic-2259_scorpionnewlyhatchedyoungscorpion-1,,arabic,2259_scorpionnewlyhatchedyoungscorpion,šabāt-,ʃabaːt-,ʃ a b aː t,,,1711,,^ ʃ a b aː t - $,default
ps-549_wildcat-1,,ps,549_wildcat,*ṣ̂ayw-,ɬˤajw-,ɬˤ a j w,,,1713,,^ ɬˤ a j w - $,default
hebrew-2260_animalsofthedesert-1,,hebrew,2260_animalsofthedesert,ṣī,sˤiː,sˤ iː,,,1713,,^ sˤ iː $,default
arabic-2261_tomcat-1,,arabic,2261_tomcat,ḍaywan-,dˤajwan-,dˤ a j w a n,,,1713,,^ dˤ a j w a n - $,default
ps-566_kindofantelope-1,,ps,566_kindofantelope,*tāˀ/y-,taːʔ,t aː ʔ,,,1714,,^ t aː ʔ $,default
hebrew-2262_antelope-1,,hebrew,2262_antelope,təˀō,təʔoː,t ə ʔ oː,,,1714,,^ t ə ʔ oː $,default
ps-528_kindofbird-21,,ps,528_kindofbird,*tVkur(r)-,t-kur-,t k u r,,,1715,,^ t - k u r - $,default
akkadian-528_kindofbird-1,,akkadian,528_kindofbird,titkurru,titkurru,t i t k u r r u,,,1715,,^ t i t k u r r u $,default
ps-2263_largehoofedanimal-1,,ps,2263_largehoofedanimal,"*tVrbal-, *bVrtal-",t-rbal-,t r b a l,,,1716,,^ t - r b a l - $,default
ps-2264_kindofinsectbeewasp-1,,ps,2264_kindofinsectbeewasp,"*ṭVrVḳay-, *ṭVḳVray-",tˤ-r-qˤaj-,tˤ r qˤ a j,,,1717,,^ tˤ - r - qˤ a j - $,default
ps-2265_youngbull-1,,ps,2265_youngbull,*ṭaγ-,tˤaɣ-,tˤ a ɣ,,,1718,,^ tˤ a ɣ - $,default
arabic-842_bull-1,,arabic,842_bull,ṭaγγ-,tˤaɣɣ-,tˤ a ɣ ɣ,,,1718,,^ tˤ a ɣ ɣ - $,default
geez-2266_sucklingfattedcalfyoungofflockyounganimalcalfheiferlamb-1,,geez,2266_sucklingfattedcalfyoungofflockyounganimalcalfheiferlamb,ṭāγəwā,tˤaːɣəwaː,tˤ aː ɣ ə w aː,,,1718,,^ tˤ aː ɣ ə w aː $,default
ps-2267_kindofinsectsnail-1,,ps,2267_kindofinsectsnail,*ṯVbl(Vl)-,θ-bl-,θ b l,,,1719,,^ θ - b l - $,default
akkadian-2268_kindofinsectorlarva-1,,akkadian,2268_kindofinsectorlarva,šublatum,ʃublatum,ʃ u b l a t u m,,,1719,,^ ʃ u b l a t u m $,default
hebrew-2269_snail-1,,hebrew,2269_snail,šabbəlūl,ʃabbəluːl,ʃ a b b ə l uː l,,,1719,,^ ʃ a b b ə l uː l $,default
ps-528_kindofbird-22,,ps,528_kindofbird,*wVˁ-,w-ʕ-,w ʕ,,,1720,,^ w - ʕ - $,default
syriac-2270_kindofbirdexplqataiepteroclesorcoturnix-1,,syriac,2270_kindofbirdexplqataiepteroclesorcoturnix,yaˁˁā,jaʕʕaː,j a ʕ ʕ aː,,,1720,,^ j a ʕ ʕ aː $,default
ps-695_ram-4,,ps,695_ram,*wābil-,waːbil-,w aː b i l,,,1721,,^ w aː b i l - $,default
hebrew-695_ram-3,,hebrew,695_ram,yōbēl,joːbeːl,j oː b eː l,,,1721,,^ j oː b eː l $,default
arabic-2271_smallcamelsorlambsyoungofaherdmadeupofcamelsorsheep-1,,arabic,2271_smallcamelsorlambsyoungofaherdmadeupofcamelsorsheep,wābilat-,waːbilat-,w aː b i l a t,,,1721,,^ w aː b i l a t - $,default
ps-528_kindofbird-23,,ps,528_kindofbird,*waw-at-,waw-at-,w a w a t,,,1722,,^ w a w - a t - $,default
ps-2272_youngofungulate-1,,ps,2272_youngofungulate,"*w/yaˁr-, *w/yarˁ-",w,w,,,1723,,^ w $,default
hebrew-875_kid-1,,hebrew,875_kid,yaˁărā,jaʕăraː,j a ʕ ă r aː,,,1723,,^ j a ʕ ă r aː $,default
arabic-2273_kidkidthatistieduporthrownintoapittoattractalionorawolf-1,,arabic,2273_kidkidthatistieduporthrownintoapittoattractalionorawolf,yaˁr-,jaʕr-,j a ʕ r,,,1723,,^ j a ʕ r - $,default
ps-589_gazelle-3,,ps,589_gazelle,*zVmr-,z-mr-,z m r,,,1724,,^ z - m r - $,default
ugaritic-561_antilope-1,,ugaritic,561_antilope,zmr,zmr,z m r,,,1724,,^ z m r $,default
hebrew-2274_kindofgazelle-1,,hebrew,2274_kindofgazelle,zämär,zæmær,z æ m æ r,,,1724,,^ z æ m æ r $,default
arabic-2275_tofleesaidofagazelle-1,,arabic,2275_tofleesaidofagazelle,zmr,zmr,z m r,,,1724,,^ z m r $,default
ps-2276_starling-1,,ps,2276_starling,*zarzī/ūr-,zarziː,z a r z iː,,,1725,,^ z a r z iː $,default
akkadian-2276_starling-1,,akkadian,2276_starling,zanzīru,zanziːru,z a n z iː r u,,,1725,,^ z a n z iː r u $,default
hebrew-2277_rooster-1,,hebrew,2277_rooster,zarzīr,zarziːr,z a r z iː r,,,1725,,^ z a r z iː r $,default
syriac-2276_starling-1,,syriac,2276_starling,zarzīrā,zarziːraː,z a r z iː r aː,,,1725,,^ z a r z iː r aː $,default
arabic-2276_starling-1,,arabic,2276_starling,zurzur-,zurzur-,z u r z u r,,,1725,,^ z u r z u r - $,default
ps-1633_kindofinsect-12,,ps,1633_kindofinsect,*zīz-,ziːz-,z iː z,,,1726,,^ z iː z - $,default
akkadian-555_locust-3,,akkadian,555_locust,zizānu,zizaːnu,z i z aː n u,,,1726,,^ z i z aː n u $,default
hebrew-2278_asmallcreaturesthatruinthefields-1,,hebrew,2278_asmallcreaturesthatruinthefields,zīz,ziːz,z iː z,,,1726,,^ z iː z $,default
arabic-2279_grasshopper-1,,arabic,2279_grasshopper,zīz-,ziːz-,z iː z,,,1726,,^ z iː z - $,default
ps-1633_kindofinsect-13,,ps,1633_kindofinsect,*garad-,garad-,g a r a d,,,1727,,^ g a r a d - $,default
arabic-555_locust-1,,arabic,555_locust,ǯarād-,garaːd-,g a r aː d,,,1727,,^ g a r aː d - $,default
ps-2280_kindofrodent-1,,ps,2280_kindofrodent,*gVrVḏ(-Vn)-,g-r-ð-,g r ð,,,1728,,^ g - r - ð - $,default
syriac-2281_castorbeaver-1,,syriac,2281_castorbeaver,gərādā,gəraːdaː,g ə r aː d aː,,,1728,,^ g ə r aː d aː $,default
arabic-2282_especedegrosratdeschampsakindoflargefieldrat-1,,arabic,2282_especedegrosratdeschampsakindoflargefieldrat,ǯuraḏ-,gurað-,g u r a ð,,,1728,,^ g u r a ð - $,default
arabic-2252_rat-2,,arabic,2252_rat,ǯirḏawn-,girðawn-,g i r ð a w n,,,1728,,^ g i r ð a w n - $,default
ps-2283_tocatchtofishtohunt-1,,ps,2283_tocatchtofishtohunt,*bˀr,bʔr,b ʔ r,,,1729,,^ b ʔ r $,default
akkadian-2283_tocatchtofishtohunt-1,,akkadian,2283_tocatchtofishtohunt,baˀāru,baʔaːru,b a ʔ aː r u,,,1729,,^ b a ʔ aː r u $,default
ps-2284_tobeclear-1,,ps,2284_tobeclear,*brḥ,brħ,b r ħ,,,1730,,^ b r ħ $,default
akkadian-2285_toshine-1,,akkadian,2285_toshine,barāḫu,baraːxu,b a r aː x u,,,1730,,^ b a r aː x u $,default
geez-2286_tobebald-1,,geez,2286_tobebald,barrəḥa,barrəħa,b a r r ə ħ a,,,1730,,^ b a r r ə ħ a $,default
ps-2287_kindoffish-1,,ps,2287_kindoffish,*kVwVr-,k-w-r-,k w r,,,1731,,^ k - w - r - $,default
ps-528_kindofbird-24,,ps,528_kindofbird,*ḳ(ʷ)aˀ(ḳ(ʷ)aˀ)-,qˤaʔ-,qˤ a ʔ,,,1732,,^ qˤ a ʔ - $,default
akkadian-530_abird-8,,akkadian,530_abird,ḳāḳû,qˤaːqˤû,qˤ aː qˤ û,,,1732,,^ qˤ aː qˤ û $,default
akkadian-2288_abird-1,,akkadian,2288_abird,ḳú-ḳí-a-nu-um,qˤú-qˤí-a-nu-um,qˤ ú qˤ í a n u u m,,,1732,,^ qˤ ú - qˤ í - a - n u - u m $,default
hebrew-2289_anuncleanspeciesofbirdfrequentingruinsandthedesertatypeofowlscopsowlorjackdaw-1,,hebrew,2289_anuncleanspeciesofbirdfrequentingruinsandthedesertatypeofowlscopsowlorjackdaw,ḳāˀāt,qˤaːʔaːt,qˤ aː ʔ aː t,,,1732,,^ qˤ aː ʔ aː t $,default
syriac-2209_pelican-1,,syriac,2209_pelican,ḳāḳā,qˤaːqˤaː,qˤ aː qˤ aː,,,1732,,^ qˤ aː qˤ aː $,default
ps-2290_smallhoofedanimal-1,,ps,2290_smallhoofedanimal,*gVrr/w(-at)-,g-rr,g r r,,,1733,,^ g - r r $,default
akkadian-860_ewe-2,,akkadian,860_ewe,"gurratu, agurratu",gurratu,g u r r a t u,,,1733,,^ g u r r a t u $,default
ps-2203_kindofbirdofprey-2,,ps,2203_kindofbirdofprey,"*gʷaz-, *gVz-",gʷaz-,gʷ a z,,,1734,,^ gʷ a z - $,default
hebrew-2291_nameofabirdofpreysupposedtobefalcon-1,,hebrew,2291_nameofabirdofpreysupposedtobefalcon,gaz (gas),gaz,g a z,,,1734,,^ g a z $,default
