ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
Malayalam,Malayalam,,,,,
Portuguese,Portuguese,,,,,
Palmyrene_Aramaic,Palmyrene Aramaic,,,,,
Ancient_North_Arabian,Ancient North Arabian,,,,,
Blin,Blin,,,,,
Catalan,Catalan,,,,,
French,French,,,,,
"Jewish_Palestinian_Aramaic,_Jewish_Literary_Aramaic,_Jewish_Babylonian_Aramaic","Jewish Palestinian Aramaic, Jewish Literary Aramaic, Jewish Babylonian Aramaic",,,,,
Alaba,Alaba,,,,,
Saho,Saho,,,,,
Syriac,Syriac,,,,,
Kabyle,Kabyle,,,,,
Nabataean_Aramaic,Nabataean Aramaic,,,,,
Old_Aramaic,Old Aramaic,,,,,
Dongolawi,Dongolawi,,,,,
Javanese,Javanese,,,,,
Sundanese,Sundanese,,,,,
Yemeni_Arabic,Yemeni Arabic,,,,,
